,Start_node,End_node,Road_Type,Region,Distance
182,991003,992007,MAJOR ROUTE,ST,19.999981369771344
183,991004,992010,MAJOR ROUTE,ST,20.00000198061121
184,991005,992013,MAJOR ROUTE,ST,20.000027878805867
185,991006,992016,MAJOR ROUTE,ST,19.998045811001866
186,991007,992019,MAJOR ROUTE,ST,19.96864896226669
187,991008,992022,MAJOR ROUTE,ST,19.999976114577127
188,991009,992025,MAJOR ROUTE,ST,19.999286512894297
189,991010,992028,MAJOR ROUTE,ST,19.999978371831325
190,991011,992031,MAJOR ROUTE,ST,19.999922078712697
191,991012,992034,MAJOR ROUTE,ST,19.99992082407336
192,991013,992037,MAJOR ROUTE,ST,20.000068223500673
193,991015,992042,MAJOR ROUTE,ST,19.99995735812183
194,991016,992045,MAJOR ROUTE,ST,20.000027983963303
195,991017,992048,MAJOR ROUTE,ST,19.999923231808175
196,991018,992051,MAJOR ROUTE,ST,20.000042312278655
197,991019,992054,MAJOR ROUTE,ST,19.99996047333041
198,991020,992057,MAJOR ROUTE,ST,20.00005790130224
199,991021,992060,MAJOR ROUTE,ST,19.996506309939274
200,991022,992063,MAJOR ROUTE,ST,19.999912237328203
201,991023,992066,MAJOR ROUTE,ST,20.000036027673023
202,991024,992069,MAJOR ROUTE,ST,19.99953433075005
203,991025,992072,URBAN ROAD,ST,19.99186527194464
204,991026,992075,MAJOR ROUTE,ST,19.999996164422072
205,991027,992078,MAJOR ROUTE,ST,19.999923337397462
206,991028,992083,URBAN ROAD,ST,19.99996496195065
207,991029,992084,MAJOR ROUTE,ST,19.993582191098362
208,991030,992086,URBAN ROAD,ST,19.997411564478245
209,991031,992090,URBAN ROAD,ST,19.999974659833878
210,991032,992093,URBAN ROAD,ST,19.999874298425688
211,991033,992098,MAJOR ROUTE,ST,19.984862229075706
212,991034,992101,MAJOR ROUTE,ST,19.99999296943541
213,991035,992104,URBAN ROAD,ST,19.97389766662239
214,991035,992105,MAJOR ROUTE,ST,19.99990009120471
215,991036,992108,MAJOR ROUTE,ST,20.000047395222253
216,991037,992111,MAJOR ROUTE,ST,19.999465923355558
217,991038,992114,MAJOR ROUTE,ST,19.938400011118276
218,991040,992119,MAJOR ROUTE,ST,19.99997287465405
219,991041,992122,MAJOR ROUTE,ST,20.000018734652627
220,991042,992125,MAJOR ROUTE,ST,19.997143558735825
221,991044,992130,MAJOR ROUTE,ST,19.999160035039584
222,991045,992133,MAJOR ROUTE,ST,19.999930183409298
223,991046,992136,MAJOR ROUTE,ST,19.999934232518555
224,991048,992139,MAJOR ROUTE,TM,19.99996835152925
225,991049,992144,MAJOR ROUTE,TM,19.999880394371136
226,991050,992145,MAJOR ROUTE,TM,19.99593754390263
227,991051,992148,MAJOR ROUTE,TM,20.00000429233851
228,991052,992151,MAJOR ROUTE,TM,19.999930355742524
229,991053,992154,MAJOR ROUTE,TM,19.99992481551462
230,991054,992157,MAJOR ROUTE,TM,19.999853457220546
231,991055,992160,MAJOR ROUTE,TM,19.999930557127936
232,991056,992163,MAJOR ROUTE,TM,19.999941639994642
233,991057,992166,MAJOR ROUTE,TM,19.98079427488775
234,991058,992169,MAJOR ROUTE,TM,19.997229386062248
235,991059,992172,MAJOR ROUTE,TM,19.9998634754193
236,991060,992175,MAJOR ROUTE,TM,19.999952566626327
237,991061,992178,MAJOR ROUTE,TM,19.997842257867013
238,991062,992181,MAJOR ROUTE,TM,19.999913176974587
239,991063,992184,MAJOR ROUTE,TM,19.99992882078453
240,991064,992187,MAJOR ROUTE,TM,19.997485448939806
241,991065,992190,MAJOR ROUTE,TM,19.999893302330353
242,991066,992193,MAJOR ROUTE,TM,19.999311205947006
243,991067,992196,MAJOR ROUTE,TM,19.999161799834855
244,991068,992199,MAJOR ROUTE,TM,19.999767292103147
245,991069,992202,MAJOR ROUTE,TM,19.99983310713559
246,991070,992205,MAJOR ROUTE,TM,19.999908748347483
247,991071,992208,MAJOR ROUTE,TM,19.999884929255003
248,991072,992211,MAJOR ROUTE,TM,19.99987112838924
249,991073,992214,MAJOR ROUTE,TM,19.999419655746653
250,991074,992217,MAJOR ROUTE,TM,19.999949515644616
251,991075,992220,MAJOR ROUTE,TM,19.999915673414872
252,991076,992223,MAJOR ROUTE,TM,19.999893162258537
253,991077,992226,MAJOR ROUTE,TM,19.99986318452441
254,991078,992229,MAJOR ROUTE,TM,19.995219540164847
255,991079,992232,MAJOR ROUTE,TM,19.999935776898305
256,991080,992235,MAJOR ROUTE,TM,19.98315211169937
257,991081,992238,MAJOR ROUTE,TM,19.999984736593067
258,991082,992241,MAJOR ROUTE,TM,19.999096350617016
259,991084,992246,URBAN ROAD,TM,19.999853776807747
260,991085,992248,URBAN ROAD,TM,19.99902108296435
261,991086,992252,URBAN ROAD,TM,19.999959032909118
262,991087,992254,URBAN ROAD,TM,19.995029720697662
263,991088,992258,URBAN ROAD,TM,19.994480524719172
264,991089,992261,URBAN ROAD,TM,19.999546540799493
265,991090,992264,URBAN ROAD,TM,19.999903448835045
266,991091,992267,URBAN ROAD,TM,19.99993738376433
267,991092,992270,URBAN ROAD,TM,19.998745228508746
268,991093,992273,URBAN ROAD,TM,19.999650788990188
269,991094,992276,URBAN ROAD,TM,19.99991881670773
270,991095,992279,URBAN ROAD,TM,19.995592112412332
271,991096,992282,URBAN ROAD,TM,19.965855148987824
272,991097,992285,URBAN ROAD,TM,19.999967909291257
273,992001,992002,MAJOR ROUTE,ST,445.20343238167754
274,992002,992003,MAJOR ROUTE,ST,19.998367260577773
275,992003,991002,MAJOR ROUTE,ST,19.999926439787778
276,992004,992005,MAJOR ROUTE,ST,800.0951895810467
277,992005,992006,MAJOR ROUTE,ST,0.0
278,992006,991003,MAJOR ROUTE,ST,39.999858120827334
279,992007,993001,MAJOR ROUTE,ST,431.7082057733498
280,992008,992009,MAJOR ROUTE,ST,19.996663382439
281,992009,991004,MAJOR ROUTE,ST,19.99994108241221
282,992010,992011,MAJOR ROUTE,ST,201.58451343794727
283,992011,992012,MAJOR ROUTE,ST,19.999975527426354
284,992012,991005,MAJOR ROUTE,ST,19.99998537895011
285,992013,992040,MAJOR ROUTE,ST,354.9498349844578
286,992014,992015,MAJOR ROUTE,ST,19.992375762418067
287,992015,991006,MAJOR ROUTE,ST,20.00001819604073
288,992016,992017,MAJOR ROUTE,ST,502.89771008776773
289,992017,992018,MAJOR ROUTE,ST,19.993887747601693
290,992018,991007,MAJOR ROUTE,ST,19.998311883484856
291,992019,992020,MAJOR ROUTE,ST,846.8975219859453
292,992020,992021,MAJOR ROUTE,ST,20.000046369206856
293,992021,991008,MAJOR ROUTE,ST,19.999918583625576
294,992022,992023,MAJOR ROUTE,ST,799.1132747302547
295,992023,992024,MAJOR ROUTE,ST,19.998889010594873
296,992024,991009,MAJOR ROUTE,ST,19.989994584434935
297,992025,992026,MAJOR ROUTE,ST,261.1560879090809
298,992026,992027,MAJOR ROUTE,ST,19.999984098988808
299,992027,991010,MAJOR ROUTE,ST,19.999957775376927
300,992028,992029,MAJOR ROUTE,ST,141.8195805366088
301,992029,992030,MAJOR ROUTE,ST,19.988589819277905
302,992030,991011,MAJOR ROUTE,ST,19.999997217399656
303,992031,993002,MAJOR ROUTE,ST,137.72813231601134
304,992032,992033,MAJOR ROUTE,ST,19.997333551065
305,992033,991012,MAJOR ROUTE,ST,19.999975903209645
306,992034,992035,MAJOR ROUTE,ST,167.578597364887
307,992035,992036,MAJOR ROUTE,ST,0.0
308,992036,991013,MAJOR ROUTE,ST,39.99880274399598
309,992037,993003,MAJOR ROUTE,ST,279.2265002766479
310,992038,992039,MAJOR ROUTE,ST,19.99846213976392
311,992039,991014,MAJOR ROUTE,ST,19.988492242000543
312,992040,992041,MAJOR ROUTE,ST,19.999643305931368
313,992041,991015,MAJOR ROUTE,ST,19.99995739950556
314,992042,992043,MAJOR ROUTE,ST,541.261470088944
315,992043,992044,MAJOR ROUTE,ST,19.999992769329193
316,992044,991016,MAJOR ROUTE,ST,19.999959849892097
317,992045,992046,MAJOR ROUTE,ST,301.09197595047056
318,992046,992047,MAJOR ROUTE,ST,19.999770741551277
319,992047,991017,MAJOR ROUTE,ST,19.995447445128733
320,992048,993005,MAJOR ROUTE,ST,81.35846713767523
321,992049,992050,MAJOR ROUTE,ST,19.999949590312873
322,992050,991018,MAJOR ROUTE,ST,19.999958759367537
323,992051,992052,MAJOR ROUTE,ST,478.5065738499076
324,992052,992053,MAJOR ROUTE,ST,19.999914599276785
325,992053,991019,MAJOR ROUTE,ST,20.000012020472656
326,992054,993006,MAJOR ROUTE,ST,280.04811827827564
327,992055,992056,MAJOR ROUTE,ST,19.999885827699842
328,992056,991020,MAJOR ROUTE,ST,19.99497497531618
329,992057,993007,MAJOR ROUTE,ST,34.18716719917609
330,992058,992059,MAJOR ROUTE,ST,19.99851309354967
331,992059,991021,MAJOR ROUTE,ST,19.99206547171808
332,992060,992061,MAJOR ROUTE,ST,867.5715592349958
333,992061,992062,MAJOR ROUTE,ST,20.000005207354135
334,992062,991022,MAJOR ROUTE,ST,19.99998034096734
335,992063,992064,MAJOR ROUTE,ST,251.89797728317416
336,992064,992065,MAJOR ROUTE,ST,20.00001916015987
337,992065,991023,MAJOR ROUTE,ST,19.999974030353137
338,992066,993011,MAJOR ROUTE,ST,750.3438346652143
339,992067,992068,MAJOR ROUTE,ST,19.999441259681994
340,992068,991024,MAJOR ROUTE,ST,19.9999081153287
341,992069,992095,MAJOR ROUTE,ST,657.7334324208979
342,992070,992071,URBAN ROAD,ST,19.999973572311834
343,992071,991025,URBAN ROAD,ST,19.99999652167861
344,992072,993009,URBAN ROAD,ST,533.1761362483493
345,992073,992074,MAJOR ROUTE,ST,19.99984560270044
346,992074,991026,MAJOR ROUTE,ST,19.999953231832723
347,992075,993006,MAJOR ROUTE,ST,275.0349219058183
348,992076,992077,MAJOR ROUTE,ST,19.999972034373478
349,992077,991027,MAJOR ROUTE,ST,19.99990960386908
350,992078,993010,MAJOR ROUTE,ST,446.40031597556447
351,992079,992081,URBAN ROAD,ST,19.998766797806304
352,992080,992082,MAJOR ROUTE,ST,19.998362926707035
353,992081,991028,URBAN ROAD,ST,19.999977461192
354,992082,991029,MAJOR ROUTE,ST,19.99947727046446
355,992083,992070,URBAN ROAD,ST,672.9654020466528
356,992084,993011,MAJOR ROUTE,ST,660.5125510200753
357,992085,991030,URBAN ROAD,ST,19.974680695712753
358,992086,992087,URBAN ROAD,ST,19.999221192680928
359,992087,993012,URBAN ROAD,ST,536.7982695445497
360,992088,992089,URBAN ROAD,ST,19.981855292690827
361,992089,991031,URBAN ROAD,ST,19.999946468471027
362,992090,993013,URBAN ROAD,ST,518.6367766713786
363,992091,992092,URBAN ROAD,ST,20.00003931028126
364,992092,991032,URBAN ROAD,ST,19.99994976333895
365,992093,992094,URBAN ROAD,ST,612.5602884828575
366,992094,992096,URBAN ROAD,ST,0.0
367,992095,992097,MAJOR ROUTE,ST,19.99499664577714
368,992096,991033,URBAN ROAD,ST,39.62898315493424
369,992097,991033,MAJOR ROUTE,ST,19.999977298674143
370,992098,992099,MAJOR ROUTE,ST,406.8069595629871
371,992099,992100,MAJOR ROUTE,ST,0.0
372,992100,991034,MAJOR ROUTE,ST,39.99997764494065
373,992101,992102,MAJOR ROUTE,ST,371.58306680004847
374,992102,992103,MAJOR ROUTE,ST,19.998985434494024
375,992103,991035,MAJOR ROUTE,ST,19.99865079122359
376,992104,992085,URBAN ROAD,ST,220.9011138010054
377,992105,992106,MAJOR ROUTE,ST,218.96491683950407
378,992106,992107,MAJOR ROUTE,ST,0.0
379,992107,991036,MAJOR ROUTE,ST,39.955163968639724
380,992108,993014,MAJOR ROUTE,ST,278.41055396225437
381,992109,992110,MAJOR ROUTE,ST,20.000023835441926
382,992110,991037,MAJOR ROUTE,ST,19.99991251747939
383,992111,992112,MAJOR ROUTE,ST,295.4834983950689
384,992112,992113,MAJOR ROUTE,ST,0.0
385,992113,991038,MAJOR ROUTE,ST,39.77360684362239
