,Start_node,End_node,Road_Type,Region,Distance
539,992267,992268,URBAN ROAD,TM,1058.0466278748524
540,992268,992269,URBAN ROAD,TM,19.999844413540153
541,992269,991092,URBAN ROAD,TM,19.999822953240614
542,992270,992271,URBAN ROAD,TM,1619.3202622180513
543,992271,992272,URBAN ROAD,TM,19.9946667005614
544,992272,991093,URBAN ROAD,TM,19.99111907077816
545,992273,992274,URBAN ROAD,TM,308.39877511892456
546,992274,992275,URBAN ROAD,TM,19.954183120705142
547,992275,991094,URBAN ROAD,TM,19.99123495392348
548,992276,992277,URBAN ROAD,TM,979.9569077667604
549,992277,992278,URBAN ROAD,TM,19.99978725244205
550,992278,991095,URBAN ROAD,TM,20.000018202496143
551,992279,992280,URBAN ROAD,TM,1210.96585950314
552,992280,992281,URBAN ROAD,TM,19.999361304838665
553,992281,991096,URBAN ROAD,TM,19.9864539852014
554,992282,992283,URBAN ROAD,TM,1028.0698173670523
555,992283,992284,URBAN ROAD,TM,0.0
556,992284,991097,URBAN ROAD,TM,39.99987586241253
557,992285,992286,URBAN ROAD,TM,940.3435690859103
558,992286,992287,URBAN ROAD,TM,0.0
559,992287,991098,URBAN ROAD,TM,19.99967388528953
560,993001,992008,MAJOR ROUTE,ST,809.060774169434
561,993001,992014,MAJOR ROUTE,ST,373.93265796195686
562,993002,992032,MAJOR ROUTE,ST,706.6896609103485
563,993002,992076,MAJOR ROUTE,ST,757.0160333393327
564,993003,993004,MAJOR ROUTE,ST,3929.554195498564
565,993004,992038,MAJOR ROUTE,ST,125.08311643611977
566,993005,992049,MAJOR ROUTE,ST,820.7679064804009
567,993005,992058,MAJOR ROUTE,ST,225.9593851453747
568,993006,992055,MAJOR ROUTE,ST,229.82587878739375
569,993007,992128,MAJOR ROUTE,ST,933.144464121399
570,993007,993008,MAJOR ROUTE,ST,32.17776151624855
571,993008,992091,URBAN ROAD,ST,428.0350032825608
572,993008,992117,MAJOR ROUTE,ST,861.8508524584224
573,993009,992073,MAJOR ROUTE,ST,182.81765628101124
574,993010,992079,URBAN ROAD,ST,50.184435429174236
575,993010,992080,MAJOR ROUTE,ST,49.72666691100628
576,993011,992067,MAJOR ROUTE,ST,262.770691491107
577,993012,992088,URBAN ROAD,ST,262.40931498629527
578,993013,992123,MAJOR ROUTE,ST,14.126570428036676
579,993014,992109,MAJOR ROUTE,ST,227.42036184104808
580,993015,992115,MAJOR ROUTE,ST,1426.596828985721
581,993016,992116,MAJOR ROUTE,ST,39.7717236499397
582,993017,993018,MAJOR ROUTE,ST,2025.7932569405277
583,993018,992126,MAJOR ROUTE,ST,376.3715955231119
584,993019,993020,MAJOR ROUTE,ST,2559.938472191762
585,993020,992137,MAJOR ROUTE,ST,231.86403169146826
586,993021,992140,MAJOR ROUTE,TM,56.15881252179304
587,993021,992141,MAJOR ROUTE,TM,56.30427865132243
588,993022,993023,MAJOR ROUTE,TM,3698.270223670509
589,993023,992161,MAJOR ROUTE,TM,212.0378471797551
590,993025,992197,MAJOR ROUTE,TM,203.1776507843337
591,993025,992244,URBAN ROAD,TM,354.53401756503365
592,993026,992242,MAJOR ROUTE,TM,826.4145600467757
593,7882,868,MAJOR ROUTE,HK,78.0840464665245
594,785,7882,MAJOR ROUTE,HK,114.22865700322298
595,877,811,MAJOR ROUTE,HK,455.11545203005085
596,50099,785,MAJOR ROUTE,HK,355.1475767611726
597,785,50179,MAJOR ROUTE,HK,299.4343839235253
598,8772,7931,URBAN ROAD,HK,609.6964612073167
599,79118,79119,URBAN ROAD,HK,59.85917184478875
600,7931,79118,URBAN ROAD,HK,343.5047689443265
601,8111,8772,MAJOR ROUTE,HK,430.35464808704705
602,50079,7881,MAJOR ROUTE,HK,319.68823144865263
603,7881,789,MAJOR ROUTE,HK,155.9093330982533
604,7882,789,MAJOR ROUTE,HK,147.17126262247933
605,6113,50057,URBAN ROAD,HK,363.33512566638535
606,79119,786,URBAN ROAD,HK,175.99857590115647
607,46499,818,MAJOR ROUTE,HK,810.8345174375503
608,8182,46495,MAJOR ROUTE,HK,860.3184163427135
609,811,46498,MAJOR ROUTE,HK,185.59823571789363
610,46497,8111,MAJOR ROUTE,HK,65.64279080479213
611,46498,46491,MAJOR ROUTE,HK,29.99811030666394
612,46491,46499,MAJOR ROUTE,HK,29.994635840120385
613,6001,6113,URBAN ROAD,HK,29.99305144604144
614,6111,6112,URBAN ROAD,HK,2116.8676080332725
615,6112,6001,URBAN ROAD,HK,29.79034700024651
616,8111,6111,MAJOR ROUTE,HK,1860.578399256037
617,50057,50058,MAJOR ROUTE,HK,54.126043361427435
618,993026,991047,FAKE ROAD,TM,4243.620158693419
619,991014,888171,FAKE ROAD,K,595.4989530420409
620,992116,4646,FAKE ROAD,K,2452.4981166244556
