,Node ID,Eastings,Northings,wgsLong,wgsLat
104,4646,836422.941,820573.545,114.178378266,22.324182195
105,88806,836421.253,820544.801,114.178361879,22.32392262
106,4647,836609.24,814749.535,114.180185283,22.271587756
107,46478,836600.096,814778.361,114.180096568,22.271848075
108,4648,835776.133,815604.834,114.172101664,22.279311622
109,46488,835804.774,815605.457,114.172379573,22.279317256
110,4649,838019.353,817012.047,114.193869616,22.292018819
111,46497,837992.283,816985.248,114.193606898,22.291776834
112,4631,836599.836,818132.347,114.180094749,22.302136683
113,4633,834364.207,818290.731,114.158398284,22.303565974
114,5011,840851.058,816261.521,114.221346549,22.285235888
115,50119,840850.736,816287.253,114.221343498,22.285468265
116,7871,836643.102,815784.132,114.18051408,22.280930824
117,7881,836592.753,815897.731,114.180025551,22.281956706
118,7909,837000.797,815961.774,114.183984987,22.282534929
119,8212,839401.015,817147.538,114.207277634,22.293240425
120,8182,838886.659,817228.946,114.202286374,22.29397645
121,8978,834523.708,815916.074,114.159948796,22.282121509
122,50108,839863.478,816886.033,114.211764862,22.290877968
123,33671,839539.341,820612.792,114.208627057,22.324533507
124,33681,839352.89,820107.684,114.206816328,22.319972429
125,33701,839125.854,820681.893,114.204613742,22.325158268
126,34212,839032.263,820399.522,114.203704825,22.322608444
127,34213,838795.019,820547.703,114.201402324,22.323946972
128,34222,837777.736,820479.786,114.191528223,22.323334837
129,34214,838796.309,820560.136,114.201414865,22.324059247
130,34221,837768.505,820483.126,114.191438628,22.323365007
131,888241,837675.498,820244.302,114.190535669,22.321208364
132,34371,837346.446,819464.44,114.187341332,22.314165984
133,88821,837650.4,820182.864,114.190292012,22.320653563
134,34372,837354.848,819455.342,114.187422872,22.314083818
135,34481,837004.89,818935.405,114.184026079,22.30938866
136,34501,836830.285,818807.735,114.182331444,22.308235788
137,88812,836747.719,818732.879,114.181530102,22.307559819
138,34551,836573.237,818583.439,114.179836699,22.306210325
139,34554,836683.275,818691.309,114.180904652,22.307184433
140,34552,836588.377,818563.869,114.179983629,22.306033593
141,88803,836458.943,818526.587,114.178727462,22.305696933
142,34781,836398.307,818543.592,114.17813899,22.305850505
143,36662,835997.232,818679.961,114.174246521,22.307081984
144,34783,836432.903,818548.685,114.178474746,22.305896494
145,88805,836463.722,818544.811,114.178773845,22.305861507
146,34982,835297.849,819038.497,114.167458711,22.310319532
147,36661,836000.337,818685.152,114.174276655,22.307128863
148,35071,836398.278,820324.278,114.178138858,22.321931169
149,36511,841899.095,817854.503,114.231521884,22.299618396
150,46502,839931.964,816756.4,114.212429154,22.289707157
151,36821,835268.36,819250.732,114.167172379,22.312236125
152,46319,836650.693,817917.971,114.180588253,22.300200725
153,46512,836893.978,816083.846,114.182948525,22.283637359
154,46522,834395.219,818269.104,114.158699276,22.303370703
155,46479,836538.931,814955.598,114.179503134,22.273448651
156,46495,838048.299,817035.81,114.194150537,22.292233384
157,50018,835747.625,815588.61,114.17182505,22.279165101
158,50019,835803.901,815589.008,114.172371107,22.279168711
159,50045,833566.611,816541.012,114.150660658,22.287763863
160,50049,833323.351,816607.564,114.148299994,22.288364471
161,50048,833272.432,816617.227,114.147805867,22.288451647
162,50058,833814.842,816458.312,114.153069563,22.2870174
163,50079,836349.024,815690.857,114.177660544,22.280088531
164,50099,836708.043,815420.557,114.181144122,22.277647494
165,50106,839816.873,816917.947,114.211312678,22.291166268
166,50109,839875.054,816894.55,114.211877215,22.290954858
167,50178,836297.644,815654.668,114.17716199,22.279761723
168,50179,836362.957,815673.882,114.177795738,22.279935235
169,88820,835350.224,818078.55,114.167967575,22.301650654
170,88807,836418.558,820503.762,114.178335716,22.323552013
171,88827,836712.602,818694.748,114.181189275,22.307215482
172,888131,840039.042,819687.873,114.213475135,22.316179918
173,888141,841171.818,818619.044,114.224466294,22.306524893
174,888161,837403.608,820809.184,114.187897081,22.326309783
175,888171,839124.326,821765.411,114.204600847,22.334943068
176,888181,837009.054,818365.583,114.184066226,22.304242819
177,888191,835889.633,817306.075,114.173202581,22.294674929
178,888201,835346.075,818138.176,114.167927276,22.302189111
179,888211,837668.17,820248.692,114.190464546,22.321248014
180,888221,835058.429,819127.715,114.165134991,22.311125073
181,88824,837662.065,820185.169,114.190405235,22.320674369
182,888303,836748.998,818560.257,114.181542462,22.306000937
183,991001,839366.6230448633,831956.7510057371,114.20697265,22.426975798
184,992001,839383.2297002394,831945.6056480855,114.207133936,22.42687512
185,991002,839779.5941638891,831665.841646526,114.210983373,22.42434795
186,992004,839795.1736031258,831653.306798799,114.211134672,22.424234722
187,991003,840045.5984746655,830856.5948151704,114.213565217,22.417039496
188,992007,840041.9817566508,830836.92454952,114.213530042,22.416861872
189,991004,839626.6446993658,829640.6637429409,114.209493462,22.406059915
190,992010,839609.1080386145,829631.047843093,114.209323126,22.405973113
191,991005,839405.7570495652,829500.7651774846,114.207347931,22.404796981
192,992013,839389.8365195245,829488.6599421259,114.207193289,22.404687693
193,991006,840070.5650709169,830019.7783739232,114.213805711,22.409482579
194,992016,840085.3499184297,830006.3124132566,114.213949272,22.409360942
195,991007,840490.1866574083,829644.7296209391,114.21788017,22.40609472
196,992019,840502.6708707921,829629.1445676386,114.218001375,22.405953949
197,991008,839952.6524713635,828933.4680826347,114.212658005,22.399672914
198,992022,839939.984730917,828917.9913790952,114.212534946,22.399533179
199,991009,839637.9303607298,828139.0578597486,114.20959989,22.392499634
200,992025,839639.9198760707,828119.1576646082,114.209619168,22.392319922
201,991010,839740.3614802808,827835.4641397353,114.21059394,22.389757823
202,992028,839748.5205539213,827817.2040872294,114.210673132,22.389592909
203,991011,839804.9981950661,827644.9758891556,114.211221194,22.388037483
204,992031,839806.8036809321,827625.0575503483,114.211238683,22.387857607
205,991012,839711.673962594,826746.8869290594,114.210313008,22.379927462
206,992034,839714.4660073575,826727.082775807,114.210340076,22.379748615
207,991013,839807.102717936,826543.7114995923,114.211239185,22.378092487
208,992037,839821.5224120775,826529.8524801116,114.21137917,22.377967302
209,991015,839111.0813440178,829209.2483426277,114.204485553,22.402164953
210,992042,839098.9245620482,829193.367138261,114.204367462,22.402021558
211,991016,838796.4868095471,828696.986176243,114.20142949,22.397539461
212,992045,838785.9500372037,828679.9868695363,114.201327136,22.397385964
213,991017,838612.2600742066,828386.4564446378,114.199639936,22.394735481
214,992048,838603.3506627465,828368.5505130123,114.199553389,22.394573794
215,991018,837938.7637994094,827712.2549175266,114.193098779,22.388647885
216,992051,837924.3189139571,827698.4221562613,114.192958493,22.388522982
217,991019,837594.6014690688,827298.4257796351,114.189756353,22.384911095
218,992054,837582.6504373979,827282.3891702052,114.18964029,22.384766285
219,991020,837263.7600336308,826834.5751510765,114.186543425,22.380722505
